source_id,spec_class,is_host,teff_gspphot,logg_gspphot,radius_gspphot,gauss_label,host_log_likelihood,field_log_likelihood,host_log_lr,host_posterior,model_name,model_score
424105725314352640,F,False,6085.7104,4.5834,0.7382,F,-6.969371630995655,-1.795773979201937,-5.173597651793718,0.0056322525156719,main_contrastive_v1,0.0056322525156719
424141871760278400,F,False,7455.824,4.3569,1.1346,F,-14.38060041141116,-4.0451555683731115,-10.335444843038047,3.24608014963558e-05,main_contrastive_v1,3.24608014963558e-05
424602704570391936,F,False,6009.7417,4.5629,0.7393,F,-6.0123276008215285,-1.7598896359867948,-4.2524379648347335,0.0140298626267023,main_contrastive_v1,0.0140298626267023
424887924757161216,F,False,6640.9155,4.1266,1.4251,F,-1.2203030134678274,-1.2737582046674918,0.0534551911996643,0.513360616501972,main_contrastive_v1,0.513360616501972
4251008103865220224,F,False,6506.688,4.496,0.88,F,-5.722858584753602,-1.0708662229020225,-4.65199236185158,0.0094523708074928,main_contrastive_v1,0.0094523708074928
4251449283000985216,F,False,6022.606,4.396,0.9197,F,-1.862090544718076,-1.2331202348443642,-0.628970309873712,0.347744053562456,main_contrastive_v1,0.347744053562456
4251893039042157440,F,False,6005.3354,4.3157,1.1125,F,-0.3457765342594832,-1.049831477148896,0.7040549428894127,0.6690861912617272,main_contrastive_v1,0.6690861912617272
4251956020452090624,F,False,6106.795,4.3297,1.0213,F,-1.0059696209450235,-1.1030034213366264,0.0970338003916027,0.5242394340978229,main_contrastive_v1,0.5242394340978229
4252844597528227968,F,False,7203.961,4.2907,1.4054,F,-7.484215452107938,-1.7949170350952752,-5.689298417012663,0.0033705657313692,main_contrastive_v1,0.0033705657313692
4253125827682195712,F,False,6004.8247,4.0346,1.822,F,-2.2827934990817993,-4.960444228531144,2.677650729449345,0.935694912723122,main_contrastive_v1,0.935694912723122
4253145863754498304,F,False,6552.1787,4.358,1.2342,F,-2.269550151306276,-0.5646953367317438,-1.7048548145745324,0.1538322615108951,main_contrastive_v1,0.1538322615108951
4253485642862509952,F,False,6125.191,4.4453,0.8521,F,-2.9192903391189193,-1.1907893179725535,-1.7285010211463656,0.1507794160114826,main_contrastive_v1,0.1507794160114826
4253534335009159680,F,False,6442.0605,4.0285,1.826,F,-0.6838931714528425,-2.913140220602069,2.2292470491492264,0.9028453334799396,main_contrastive_v1,0.9028453334799396
4253535159557850752,F,False,6057.675,4.0944,1.3347,F,-2.44975458845022,-2.832524907923863,0.3827703194736429,0.5945410961610863,main_contrastive_v1,0.5945410961610863
4253707404994201728,F,False,6003.094,4.1181,1.3172,F,-1.8558071894245824,-2.5742510718841745,0.7184438824595922,0.6722642573812928,main_contrastive_v1,0.6722642573812928
4254371338169447296,F,False,6313.4116,4.3246,1.1281,F,-0.5552119048432105,-0.4797454000568315,-0.0754665047863789,0.4811423227971441,main_contrastive_v1,0.4811423227971441
4255156419503637632,F,False,6009.963,4.4513,0.8879,F,-2.6686178877058726,-1.178109928689361,-1.4905079590165116,0.1838454977925676,main_contrastive_v1,0.1838454977925676
4255243113460189952,F,False,7333.908,4.1309,1.6549,F,-6.880032085031704,-2.4677553959201703,-4.412276689111534,0.0119822214213243,main_contrastive_v1,0.0119822214213243
4255312481433033088,F,False,6008.2803,4.4461,0.912,F,-2.503687840658675,-1.135067709750119,-1.368620130908556,0.2028428765260155,main_contrastive_v1,0.2028428765260155
4258923762975587968,F,False,7106.921,4.3369,1.3091,F,-7.221100347559172,-1.514293714247795,-5.706806633311377,0.0033122605022485,main_contrastive_v1,0.0033122605022485
4260550834025255296,F,False,6405.1357,4.0156,1.8069,F,-0.6398518580688655,-2.79996990147203,2.1601180434031644,0.8966104916914541,main_contrastive_v1,0.8966104916914541
