source_id,spec_class,is_host,teff_gspphot,logg_gspphot,radius_gspphot,model_name,model_score,mlp_positive_proba,mlp_predicted_is_host
6130859798350808960,G,False,5338.6274,4.6921,0.619,baseline_mlp_small,0.011223550927080153,0.011223550927080153,False
6131155528319336704,G,False,5320.473,4.6785,0.6353,baseline_mlp_small,0.019538431520883554,0.019538431520883554,False
6135336769178916352,G,False,5887.984,4.602,0.7049,baseline_mlp_small,0.002243041093891865,0.002243041093891865,False
6137460265430068992,G,False,5465.1396,4.7396,0.5755,baseline_mlp_small,0.002420636884444194,0.002420636884444194,False
6137575507992237824,G,False,5387.259,4.7695,0.5435,baseline_mlp_small,0.0015861048039787803,0.0015861048039787803,False
6138039815434145280,G,False,5303.2505,4.6306,0.7127,baseline_mlp_small,0.1681306876374119,0.1681306876374119,False
6138353240670576000,G,False,5233.074,4.6679,0.6294,baseline_mlp_small,0.019859095410631605,0.019859095410631605,False
6138424674568691968,G,False,5225.1714,4.7722,0.537,baseline_mlp_small,0.002014607267072234,0.002014607267072234,False
6138792564285709056,G,False,5441.976,4.6892,0.6232,baseline_mlp_small,0.00855377255934342,0.00855377255934342,False
6140232585217134592,G,False,5556.3135,4.2399,1.3624,baseline_mlp_small,0.6923488265301396,0.6923488265301396,True
6140252238987252352,G,False,5821.1133,4.4074,0.9341,baseline_mlp_small,0.4950150101134256,0.4950150101134256,False
614215370261136896,G,False,5552.3374,4.244,1.274,baseline_mlp_small,0.6537520568005388,0.6537520568005388,True
6142614196121901312,G,False,5812.715,4.4484,0.931,baseline_mlp_small,0.5053696568583582,0.5053696568583582,True
6143515619565098752,G,False,5253.791,4.7071,0.6118,baseline_mlp_small,0.013117298388532256,0.013117298388532256,False
6145392966948260992,G,False,5533.9023,4.6455,0.642,baseline_mlp_small,0.007633207718722094,0.007633207718722094,False
6145537449646207744,G,False,5276.5913,4.7894,0.525,baseline_mlp_small,0.001439309509208974,0.001439309509208974,False
6146560343354387072,G,False,5852.885,4.4678,0.8668,baseline_mlp_small,0.18483980733504551,0.18483980733504551,False
6147715822703051136,G,False,5437.873,4.7418,0.5728,baseline_mlp_small,0.00247661767106786,0.00247661767106786,False
6151159286959988608,G,False,5246.6978,4.7189,0.5769,baseline_mlp_small,0.004741955290635448,0.004741955290635448,False
6152519146619199872,G,False,5375.288,4.7406,0.5541,baseline_mlp_small,0.0019604843631584714,0.0019604843631584714,False
6154744455075961344,G,False,5477.6353,4.6843,0.6304,baseline_mlp_small,0.009093401667143858,0.009093401667143858,False
6158074978875496320,G,False,5425.9897,4.3181,1.1582,baseline_mlp_small,0.5616719689035469,0.5616719689035469,True
6163876002224938112,G,False,5514.4844,4.7302,0.5797,baseline_mlp_small,0.0020838039845313024,0.0020838039845313024,False
6170677027101862272,G,False,5640.5205,4.7119,0.6217,baseline_mlp_small,0.002313519527164714,0.002313519527164714,False
6170700185565863936,G,False,5436.1387,4.7427,0.5763,baseline_mlp_small,0.0026994486357606513,0.0026994486357606513,False
6179693129824212480,G,False,5396.675,4.512,0.8172,baseline_mlp_small,0.6800480952388014,0.6800480952388014,True
6181900674294582400,G,False,5964.247,4.0273,1.9547,baseline_mlp_small,0.8171298566511607,0.8171298566511607,True
6189605124068918528,G,False,5768.1797,4.0918,1.3888,baseline_mlp_small,0.6372973238177639,0.6372973238177639,True
