source_id,spec_class,is_host,teff_gspphot,logg_gspphot,radius_gspphot,model_name,model_score,rf_positive_proba,rf_predicted_is_host
443975549691151616,F,False,6048.626,4.4901,0.7949,baseline_random_forest,0.0,0.0,False
4445883173949123584,F,False,6040.622,4.1121,1.5397,baseline_random_forest,0.42187354655209236,0.42187354655209236,False
445829395019116800,F,False,7315.74,4.3349,1.3446,baseline_random_forest,0.0,0.0,False
4460437787323915776,F,False,6050.064,4.5433,0.7471,baseline_random_forest,0.01495320736277701,0.01495320736277701,False
4468324378079764224,F,False,6251.48,4.1101,1.6581,baseline_random_forest,0.46164907959658225,0.46164907959658225,False
4471546187666653824,F,False,6622.294,4.09,1.5838,baseline_random_forest,0.4930789175461363,0.4930789175461363,False
4471922358080841344,F,False,6158.747,4.4079,0.8995,baseline_random_forest,0.0,0.0,False
4476995878389686656,F,False,6147.4043,4.3429,1.1488,baseline_random_forest,0.3836138305334588,0.3836138305334588,False
4488396168997558272,F,False,6017.8896,4.3669,0.9626,baseline_random_forest,0.029185008129590517,0.029185008129590517,False
4491552592000653568,F,False,6180.685,4.1683,1.3722,baseline_random_forest,0.7035502667900683,0.7035502667900683,True
4494696989101213696,F,False,6680.9087,4.1373,1.4995,baseline_random_forest,0.1577177220418877,0.1577177220418877,False
4498618603482075264,F,False,6614.0244,4.1964,1.4836,baseline_random_forest,0.3591461349940523,0.3591461349940523,False
449996750244232064,F,False,6757.5337,4.1765,1.4347,baseline_random_forest,0.07158494219477292,0.07158494219477292,False
4502278362292671360,F,False,6113.574,4.1225,1.6267,baseline_random_forest,0.6105259307381656,0.6105259307381656,True
4503190475906182400,F,False,6093.8145,4.4105,0.9745,baseline_random_forest,0.09261463743538784,0.09261463743538784,False
4504242158811784320,F,False,6681.4844,4.2973,1.2624,baseline_random_forest,0.015905178063683162,0.015905178063683162,False
4510037822012560256,F,False,6513.5894,4.2504,1.319,baseline_random_forest,0.09723727190385324,0.09723727190385324,False
4510861390584548224,F,False,6963.9624,4.0559,1.8472,baseline_random_forest,0.05461702780064406,0.05461702780064406,False
4511122799492177152,F,False,7084.7437,4.4852,0.984,baseline_random_forest,0.019609679910248774,0.019609679910248774,False
451233937043187584,F,False,6374.967,4.5984,0.7491,baseline_random_forest,0.010495760727788997,0.010495760727788997,False
4513320895029201664,F,False,6754.7964,4.3394,1.2945,baseline_random_forest,0.0,0.0,False
4513448988137917696,F,False,6719.3164,4.1034,1.7538,baseline_random_forest,0.3825814871268276,0.3825814871268276,False
4513953698352049024,F,False,6538.4634,4.289,1.3259,baseline_random_forest,0.019080383782025347,0.019080383782025347,False
4514651372835086336,F,False,6442.768,4.3287,1.2296,baseline_random_forest,0.0067873125539766035,0.0067873125539766035,False
4514721226176144896,F,False,6375.782,4.404,1.1512,baseline_random_forest,0.012428640002466464,0.012428640002466464,False
4514829665515893376,F,False,6346.431,4.4181,1.1158,baseline_random_forest,0.005862646566164154,0.005862646566164154,False
4517154788998840960,F,False,6330.574,4.2882,1.2838,baseline_random_forest,0.11976838762074768,0.11976838762074768,False
4519247778090225408,F,False,6040.4233,4.3686,0.95,baseline_random_forest,0.01442111730346456,0.01442111730346456,False
4520435937854165504,F,False,6656.8955,4.332,1.2929,baseline_random_forest,0.0,0.0,False
4520785681311767296,F,False,6714.8438,4.325,1.2391,baseline_random_forest,0.0,0.0,False
4521601420163870336,F,False,6006.4697,4.3353,1.1931,baseline_random_forest,0.5279851992755602,0.5279851992755602,True
4525936691432582912,F,False,6239.877,4.3429,1.0952,baseline_random_forest,0.258067062198824,0.258067062198824,False
4531626595387872640,F,False,6781.429,4.1871,1.4767,baseline_random_forest,0.04501995637665168,0.04501995637665168,False
4531855774841448576,F,False,6265.6665,4.127,1.6502,baseline_random_forest,0.42593132430419806,0.42593132430419806,False
4533422372758291200,F,False,6039.518,4.3959,1.0098,baseline_random_forest,0.25790580785805955,0.25790580785805955,False
453496427036191104,F,False,6872.5913,4.3484,1.2767,baseline_random_forest,0.0,0.0,False
453777902014421760,F,False,6962.9224,4.4342,1.0526,baseline_random_forest,0.0,0.0,False
454062228848997632,F,False,6811.315,4.3571,1.2007,baseline_random_forest,0.0,0.0,False
455081029449210880,F,False,6197.279,4.216,1.2583,baseline_random_forest,0.5300367452487503,0.5300367452487503,True
4554444584093955072,F,False,6210.5273,4.6912,0.6621,baseline_random_forest,0.0027964205816554807,0.0027964205816554807,False
4560997505894692736,F,False,6023.568,4.5295,0.7868,baseline_random_forest,0.014427514632842498,0.014427514632842498,False
456164048403378688,F,False,6555.687,4.4346,1.0666,baseline_random_forest,0.0,0.0,False
456350243824277120,F,False,6376.223,4.4907,0.8693,baseline_random_forest,0.015252645031325913,0.015252645031325913,False
456436727287711104,F,False,6299.1797,4.3869,1.0742,baseline_random_forest,0.02088437902728542,0.02088437902728542,False
457147973873034752,F,False,6130.3076,4.3188,1.1358,baseline_random_forest,0.2096667751044577,0.2096667751044577,False
4576830507699145216,F,False,6024.686,4.6959,0.6426,baseline_random_forest,0.0,0.0,False
457973604027666944,F,False,6301.9775,4.0956,1.6164,baseline_random_forest,0.25086824778901895,0.25086824778901895,False
457984392985493376,F,False,6474.601,4.4223,1.1023,baseline_random_forest,0.0027646129541864135,0.0027646129541864135,False
458560537080002944,F,False,7426.5264,4.3234,1.2691,baseline_random_forest,0.0019774011299435027,0.0019774011299435027,False
4588514055691458560,F,False,6032.6387,4.2752,1.2375,baseline_random_forest,0.6773213101399059,0.6773213101399059,True
458862627898219136,F,False,7126.6235,4.3407,1.3052,baseline_random_forest,0.0,0.0,False
4591567811797416320,F,False,6556.241,4.2577,1.4025,baseline_random_forest,0.10281053800491424,0.10281053800491424,False
459481412421974016,F,False,6352.758,4.319,1.257,baseline_random_forest,0.11795611825669926,0.11795611825669926,False
4595152803817548032,F,False,7079.06,4.0824,1.8658,baseline_random_forest,0.002252252252252252,0.002252252252252252,False
4597533349570969472,F,False,6954.453,4.2365,1.3931,baseline_random_forest,0.01394859068308879,0.01394859068308879,False
4608851550467751552,F,False,6389.0303,4.1441,1.5285,baseline_random_forest,0.5345040208563545,0.5345040208563545,True
4610909252119510656,F,False,6025.8896,4.2043,1.2618,baseline_random_forest,0.6715951754778366,0.6715951754778366,True
4614529119275550464,F,False,6157.993,4.1272,1.5261,baseline_random_forest,0.426814487372785,0.426814487372785,False
4623255045415685120,F,False,6131.6436,4.6621,0.6945,baseline_random_forest,0.0,0.0,False
4623975367267003776,F,False,6444.459,4.0991,1.3889,baseline_random_forest,0.38520815879520887,0.38520815879520887,False
4624682902999566464,F,False,6016.892,4.3537,0.9676,baseline_random_forest,0.06564974647952998,0.06564974647952998,False
4627921102182091264,F,False,6155.5527,4.4255,0.8721,baseline_random_forest,0.016900061008463963,0.016900061008463963,False
464652965368841216,F,False,6803.654,4.3575,1.2508,baseline_random_forest,0.0,0.0,False
4648507292753097600,F,False,6116.001,4.0421,1.4217,baseline_random_forest,0.10734789851414993,0.10734789851414993,False
4651051700137209344,F,False,6634.99,4.172,1.5431,baseline_random_forest,0.20070981176180497,0.20070981176180497,False
4655489707007833856,F,False,7485.772,4.3795,1.1117,baseline_random_forest,0.016469534291733562,0.016469534291733562,False
4656954462655441408,F,False,7370.4395,4.1845,1.3023,baseline_random_forest,0.029402478694528753,0.029402478694528753,False
4657676566935433472,F,False,6798.662,4.3011,1.06,baseline_random_forest,0.0,0.0,False
4658235630057860224,F,False,7389.814,4.3954,1.0854,baseline_random_forest,0.0,0.0,False
4658617164752034816,F,False,7402.08,4.3883,1.0369,baseline_random_forest,0.0,0.0,False
4658984126745140608,F,False,6009.135,4.2017,1.3253,baseline_random_forest,0.5382974774210203,0.5382974774210203,True
4660525573333920512,F,False,6759.6,4.382,1.0326,baseline_random_forest,0.007733721941459595,0.007733721941459595,False
4663800223885738496,F,False,6102.753,4.7003,0.6439,baseline_random_forest,0.0,0.0,False
4664325653012548096,F,False,6132.3237,4.6979,0.6508,baseline_random_forest,0.0,0.0,False
4669815553217112832,F,False,6182.015,4.672,0.6725,baseline_random_forest,0.002252252252252252,0.002252252252252252,False
467282103826427136,F,False,7165.674,4.2915,1.455,baseline_random_forest,0.003566865253467572,0.003566865253467572,False
467506713437312128,F,False,6733.626,4.2726,1.4366,baseline_random_forest,0.012634192952072788,0.012634192952072788,False
