source_id,predicted_spec_class,predicted_evolution_stage,router_label,gauss_label,model_score,host_posterior,host_log_lr,similarity,rf_positive_proba,mlp_positive_proba,final_score,priority_tier,reason_code,router_similarity,router_log_posterior,posterior_margin,ra,dec,teff_gspphot,logg_gspphot,radius_gspphot
550740946244845312,K,dwarf,K_dwarf,,0.8248555410989239,,,,,0.8248555410989239,0.6575817111602379,HIGH,HOST_SCORING,0.6144401208963932,4.933564757319878,7.235230017451778,60.74449,75.328125,4678.9907,4.596,0.7281
991494819485355776,K,dwarf,K_dwarf,,0.8691670094268164,,,,,0.8691670094268164,0.6564383838696031,HIGH,HOST_SCORING,0.3756898028809311,3.7497011130876348,1.1675968864697905,102.13691,51.157124,5035.6157,4.4906,0.9102
2074526760853918080,K,dwarf,K_dwarf,,0.8227063078034198,,,,,0.8227063078034198,0.6558683244667846,HIGH,HOST_SCORING,0.5863828862356496,4.881667878156385,8.208177705926897,302.57068,40.998985,4633.725,4.579,0.7404
1575553540733945088,K,dwarf,K_dwarf,,0.8367622641012775,,,,,0.8367622641012775,0.6534276520366877,HIGH,HOST_SCORING,0.5807574382138442,4.869879500587215,7.9406957102849365,180.09383,58.006832,4646.064,4.5797,0.7481
1809920766401022976,K,dwarf,K_dwarf,,0.8021627109301084,,,,,0.8021627109301084,0.6528267529119532,HIGH,HOST_SCORING,0.42347279999456705,4.2037001531348235,3.5169665858550316,304.03195,17.351519,4890.508,4.4992,0.8848
1816493440755009536,K,dwarf,K_dwarf,,0.8009067418848811,,,,,0.8009067418848811,0.6518046034373125,HIGH,HOST_SCORING,0.5077813407406624,4.6606202878437575,6.818049901551598,304.5314,19.944084,4705.5977,4.5458,0.8139
2082679948793715072,K,dwarf,K_dwarf,,0.9079894052677301,,,,,0.9079894052677301,0.6514710484120304,HIGH,HOST_SCORING,0.44080996363939734,4.325830403872365,2.034884636338146,302.50586,46.52851,4981.9995,4.5418,0.7873
1992023084775768064,K,dwarf,K_dwarf,,0.9075795289901554,,,,,0.9075795289901554,0.6511769673063239,HIGH,HOST_SCORING,0.39620747133083384,3.9692599398324284,0.4721954416979415,346.54205,50.943954,5086.287,4.5431,0.7928
533329389348201344,K,dwarf,K_dwarf,,0.8413813775409418,,,,,0.8413813775409418,0.6505070005342997,HIGH,HOST_SCORING,0.47007847226072763,4.495033958591804,4.102789642099323,18.227007,70.66341,4856.2896,4.5279,0.8261
1992755119001227008,K,dwarf,K_dwarf,,0.7700354593847915,,,,,0.7700354593847915,0.6461880896670708,HIGH,HOST_SCORING,0.5327181535283285,4.745732129725402,8.583562132273926,351.85825,53.44222,4560.088,4.5753,0.7646
765420832083471488,K,dwarf,K_dwarf,,0.9004424639596121,,,,,0.9004424639596121,0.6460562123602221,HIGH,HOST_SCORING,0.4684071956634247,4.486448663572515,3.0735799164577284,167.61334,40.17344,4915.559,4.5465,0.7963
1942489673624988288,K,dwarf,K_dwarf,,0.8099031095304241,,,,,0.8099031095304241,0.6456615081102334,HIGH,HOST_SCORING,0.5701572043810668,4.846257261506711,7.446745980423588,347.62326,47.86581,4674.3745,4.5645,0.7548
1076937868079755648,K,dwarf,K_dwarf,,0.8996972650686683,,,,,0.8996972650686683,0.6455215414709561,HIGH,HOST_SCORING,0.4248908968845248,4.2143990336084,1.4358831294378915,159.7919,71.275,5021.2666,4.5431,0.7811
1990975215833080192,K,dwarf,K_dwarf,,0.8317671846760466,,,,,0.8317671846760466,0.6430738674390798,HIGH,HOST_SCORING,0.5905848965415511,4.890153021877595,7.970657599463689,347.10248,49.91981,4645.37,4.5797,0.7391
426467167054408960,K,dwarf,K_dwarf,,0.8958461820534848,,,,,0.8958461820534848,0.6427584375460996,HIGH,HOST_SCORING,0.36469092653409013,3.613076063712,0.037482739080611616,14.661228,60.28821,5118.632,4.4945,0.8651
1371930549980274944,K,dwarf,K_dwarf,,0.8939181150857444,,,,,0.8939181150857444,0.641375073597583,HIGH,HOST_SCORING,0.4854806257906211,4.568838241683949,3.2394291457495803,240.37122,34.61471,4906.1284,4.555,0.7685
