source_id,ra,dec,parallax,parallax_over_error,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,teff_gspphot,logg_gspphot,radius_gspphot,mh_gspphot
4803716862386807808,89.5337980734831,-42.431700415463524,0.7438212353256705,23.451733,1.0360172,16.134827,16.49358,15.595218,0.89836216,6006.338,4.4912,0.7963,-1.2156
2830432483706486784,343.23517864612364,18.924780056155235,1.5440717038981806,11.796345,1.0924313,17.25526,18.256985,16.272589,1.984396,3803.7556,4.7761,0.4696,-0.3914
357448794944072320,27.041157942524695,49.26122517998387,3.8872804414657005,213.5087,1.3467382,11.889253,12.26243,11.342076,0.9203539,5756.181,4.3465,1.019,-0.2225
4532505551854252928,282.1146895713271,23.27296057136656,0.3873530298555806,10.23214,0.9381337,16.305668,16.725405,15.720434,1.0049706,5552.6514,4.5337,0.7674,-0.5092
5526825493448752384,127.75084489737475,-41.64212163677217,0.45349399231886034,17.140738,0.95844746,15.290643,16.329662,14.282705,2.046957,5159.738,3.4784,3.747,0.0501
4449911166079846656,240.97231446785904,5.827399083767877,0.5497189191890304,11.554255,1.0382228,15.729993,16.032482,15.258542,0.7739401,5780.5396,3.6527,2.4641,-0.9124
3428973044407072384,87.7233128023384,25.192962675673712,0.9754860337504302,30.33553,0.9492522,15.03205,15.426558,14.460009,0.9665489,5450.219,4.4352,0.9199,-0.7185
4299019619130676608,300.7504799766153,8.475586245689522,0.4721864576001273,11.043446,0.99811506,16.05849,16.446772,15.48516,0.96161175,5706.8574,4.5128,0.7813,-0.6957
5216240602789409280,138.63720714096667,-74.5136557088009,0.6442308584758747,43.204105,0.9706169,14.3831835,14.795291,13.801578,0.9937134,5555.1665,4.0724,1.8263,-0.5054
3417197137433042816,79.77172862962453,23.96449721345963,0.7149846073478878,22.066992,0.9914726,15.420586,16.212875,14.536136,1.6767397,7994.302,4.0805,2.1462,0.2582
5987044914418469888,234.15813920572458,-47.624856325090505,0.47900765324261496,12.725812,1.0001755,15.658291,16.217474,14.943787,1.2736874,5962.4727,4.169,1.2714,-0.4152
1965678305143657728,319.92606690061456,40.825833237836505,0.40879609097102226,37.626842,0.952814,13.315443,14.040673,12.48701,1.5536633,4596.2896,2.433,10.9381,0.23
474685665370669696,59.14664833009745,61.50281840870891,1.0575818313745926,39.64888,0.95977014,15.224406,15.733257,14.549845,1.1834126,5968.8784,4.4668,0.9034,-0.4188
4133554389136700032,250.37338044701443,-16.91653245634929,0.72254773728468,13.5693245,1.02802,16.017174,16.619823,15.261392,1.3584318,6713.959,4.2259,1.4678,-0.0106
236444035617668096,53.39210012846558,38.869388723762384,1.12357893008751,14.7701645,1.036202,16.812244,17.469587,16.038132,1.4314556,4493.6484,4.7051,0.5553,-0.6463
2015115131058438400,347.30742578305916,61.63436890574572,0.5510784210070967,13.191787,0.99770623,16.563004,17.258215,15.7414,1.5168152,6718.8926,4.3537,1.2607,-0.034
5826009926014391936,238.4026077990091,-64.38656927934176,0.49848167742247906,16.433714,1.0010446,15.677343,16.030968,15.156852,0.87411594,6011.174,4.3366,1.1506,-0.1985
6106980188202187392,205.83908932569855,-47.22634340795251,0.7863408322447157,18.145088,0.968543,16.070663,16.548557,15.4287,1.1198568,5102.6426,4.5095,0.8664,0.1815
5434105460280468224,148.64479929235395,-36.49036672950826,1.5932910792788504,25.762346,1.0030055,17.079817,17.987091,16.137884,1.8492069,4206.9785,4.6805,0.613,0.0124
5959065809496608512,263.4352825352176,-41.609576438192,0.6381136823831756,25.20891,0.91962504,14.52797,14.881582,13.994122,0.8874607,6697.2754,4.2001,1.4672,-0.2853
3172048169477196288,65.35232665428812,-16.9133356009744,3.8020811845381735,288.96066,0.9813495,13.18391,13.67663,12.528294,1.1483364,4953.2637,4.587,0.7507,0.0754
3865987890916498816,164.1777356733268,8.625379691996832,1.224206744030901,17.445084,1.0052093,16.510576,17.084953,15.784389,1.3005648,4510.3384,4.5165,0.7928,-0.1908
928920685035362816,121.92871176008207,44.06721252086048,0.5287799671818801,11.227493,1.1973853,15.690201,16.038134,15.156214,0.88191986,5636.66,4.5311,0.7686,-0.5912
5864411705318528896,208.2834967909729,-63.81476807440522,0.32467631796939866,19.073063,0.88892156,12.591955,14.309376,11.347572,2.9618034,5600.8545,1.786,43.317,-0.8714
2867147582140569728,358.9533394519846,29.25480249724426,2.5216426289191873,114.10379,1.0169924,14.578896,15.162822,13.85629,1.3065319,4624.1807,4.5977,0.7053,0.0461
5244216198693542528,146.08492595918943,-67.92194034719846,0.35163918369399016,31.473833,0.99137133,13.463049,14.079749,12.714834,1.3649149,4735.2515,2.7188,8.0938,-0.1179
2897640402536849408,92.76770513734017,-28.8137589969621,0.7566135004546872,11.262546,0.96271485,17.491102,18.246748,16.63433,1.6124172,4353.0723,4.5417,0.771,0.048
5748194052111286784,128.15956486019172,-11.55305871925848,0.44750945752827137,21.924097,0.9922901,14.319766,14.602313,13.875655,0.72665787,6141.7944,3.9847,2.0215,-0.4775
5792911121299052416,222.9730807762013,-75.63303333039767,2.2872971321238924,80.331535,1.0011308,15.683337,16.427935,14.84479,1.5831442,4424.129,4.6759,0.6327,-0.0022
3322088316478552576,91.51452186984756,6.921339993555603,0.6468649386954903,19.45692,1.1450232,15.081236,15.449965,14.5281315,0.92183304,7151.5654,4.379,1.1962,-0.4552
6721319292194781312,275.4396689609535,-43.056273379790575,0.49937711036070026,10.430892,1.1344247,15.948889,16.290731,15.420123,0.8706083,5662.1475,4.571,0.7095,-0.9727
3355510240149373824,98.3878451833302,13.246949218561966,0.33613264285763506,11.010293,1.0276015,15.2488985,15.597526,14.720628,0.8768978,9568.887,4.1849,1.6237,-1.445
6347396793686675328,297.09870458829306,-82.82742592663014,0.4371547152247099,12.737189,0.99334556,16.094652,16.496418,15.514505,0.9819126,5444.289,4.3246,1.1259,-0.6663
5824735592045519488,227.8116401807442,-65.83088748889963,3.284287550887884,40.37248,0.9676846,17.637455,19.172634,16.441792,2.7308426,3511.0198,4.7616,0.4445,-0.2548
6901465304495478272,310.2705460181702,-10.478457304319711,0.5926498682960804,12.470233,1.0009978,15.812945,16.181057,15.246291,0.9347658,5333.1353,4.4072,0.9899,-0.4031
2055969237946680576,306.0908337085288,33.32075614658,1.1388885583561457,16.443186,1.0044165,17.50665,18.409624,16.573807,1.8358173,4391.609,4.6677,0.6588,0.369
2717532396383243008,340.8548966926356,10.655069862741044,1.1109679812864495,12.759121,1.0062026,17.040998,17.707981,16.273785,1.4341965,4252.5903,4.3766,0.9122,-0.5224
5342352250058992768,176.33131416675386,-56.56071973373932,0.5647563072851135,11.239241,1.1002182,16.32152,16.799292,15.675746,1.1235456,5151.561,4.4573,0.909,-0.2575
5859162091451450752,199.8934537188989,-63.816259008606785,1.0162727418105184,27.892582,1.0157193,16.222591,16.84639,15.350423,1.4959669,5130.9883,4.446,0.9122,-0.4083
4059942223198692992,261.37894023053457,-27.799055733871878,0.7380579198816257,11.81146,1.0169424,16.610992,17.41888,15.68193,1.7369509,5222.4185,4.3277,1.0188,-1.5453
598638795189320448,132.8151102821691,10.815149671979341,0.4356449372823774,10.081763,1.0228686,15.981571,16.316978,15.476014,0.8409643,5753.8687,3.9991,1.5686,-0.3807
6502930066418611328,347.90871459283744,-50.10824899305744,2.170077851649318,21.424845,1.012332,17.848476,19.16526,16.744032,2.4212284,3558.2163,4.2906,0.8212,-0.406
4427339321934864000,232.59198658188905,3.24658764762059,1.409393723685001,10.397453,1.050894,17.884752,19.048847,16.838747,2.2101002,3596.1426,4.3056,0.7484,-0.6675
5929953391644787456,251.97370010343397,-53.95344006273465,0.8564744273169381,12.015592,0.9694103,16.941395,17.5661,16.19083,1.3752689,4852.692,4.556,0.7578,-0.1453
4517144652874557568,284.0465780198975,17.495618407560023,2.4044178635115023,162.24792,0.9498946,12.995704,13.371489,12.450703,0.9207859,5759.8193,4.371,0.978,-0.3025
1987079611778715904,339.24984536923574,48.39416212588947,0.26527118727692794,13.190235,0.9879179,15.021785,15.233846,14.663351,0.57049465,10465.239,4.3996,1.5175,-0.1538
1883125254132509568,344.61022781646915,26.589020218349063,0.7342805198919142,21.817064,0.967889,15.255782,15.599692,14.74258,0.85711193,5965.7534,4.5174,0.8365,-0.5921
