source_id,spec_class,evolution_stage,teff_gspphot,logg_gspphot,radius_gspphot,router_label
4117851026628221824,M,dwarf,3778.0972,4.4695,0.3683,M_dwarf
4158263537853682048,M,dwarf,3595.063,4.4361,0.4647,M_dwarf
5564045503934218496,M,dwarf,3504.9304,4.6102,0.3083,M_dwarf
197097492324200576,M,dwarf,3990.1094,4.9012,0.3709,M_dwarf
5989824853443539712,M,dwarf,3647.0452,4.3905,0.3589,M_dwarf
3425190960626872576,M,dwarf,3568.596,4.8908,0.3598,M_dwarf
4733786170513097984,M,dwarf,3568.6606,4.8846,0.3742,M_dwarf
5959276301549194880,M,dwarf,3683.2788,4.4369,0.487,M_dwarf
124178671442717312,M,dwarf,3295.8718,4.6949,0.2985,M_dwarf
1854102609631376256,M,dwarf,3490.899,4.6024,0.381,M_dwarf
5720949730229732480,M,dwarf,3524.5789,4.8882,0.3698,M_dwarf
5942467169652358784,M,dwarf,3737.6199,4.5257,0.487,M_dwarf
5977491390994166784,M,dwarf,3865.9858,4.876,0.3867,M_dwarf
4261679379607049472,M,dwarf,3691.6433,4.9228,0.3292,M_dwarf
3576324919833757440,M,dwarf,3409.0476,4.6032,0.3575,M_dwarf
6351057647714868864,M,dwarf,3321.0745,4.4884,0.5325,M_dwarf
5618627597601241984,M,dwarf,3956.0903,4.9125,0.3662,M_dwarf
3476683907653692928,M,dwarf,3532.038,4.7739,0.4338,M_dwarf
5986600849163125632,M,dwarf,3602.6753,4.32,0.3534,M_dwarf
5871188373436798720,M,dwarf,3857.6582,4.8229,0.4295,M_dwarf
4096139176726516608,M,dwarf,3818.2961,4.8995,0.3657,M_dwarf
4251412552352375552,M,dwarf,3812.9504,5.0704,0.2266,M_dwarf
6751698450559179392,M,dwarf,3403.645,4.4394,0.3599,M_dwarf
6225705385048050304,M,dwarf,3984.0662,4.8274,0.4328,M_dwarf
3317389794056215552,M,dwarf,3922.2751,5.051,0.2412,M_dwarf
4107317151365930112,M,dwarf,3761.3467,5.0136,0.2272,M_dwarf
6026000370851986688,M,dwarf,3557.267,4.4398,0.3178,M_dwarf
4064440943654532736,M,dwarf,3896.0012,4.4499,0.4813,M_dwarf
2078200774638478848,M,dwarf,3419.959,4.5091,0.3651,M_dwarf
4154666073248482688,M,dwarf,3650.196,4.0633,0.7448,M_dwarf
471774257358279168,M,dwarf,3561.124,4.6755,0.3819,M_dwarf
1822182790646870400,M,dwarf,3847.3943,5.007,0.279,M_dwarf
5978252497852641792,M,dwarf,3852.4604,4.8289,0.4252,M_dwarf
3317706655268021120,M,dwarf,3236.0964,4.6202,0.2554,M_dwarf
5554448141812497152,M,dwarf,3622.5852,4.5572,0.6423,M_dwarf
5890078365493092480,M,dwarf,3623.3928,4.6384,0.3147,M_dwarf
4268534319243257600,M,dwarf,3629.0105,4.4632,0.4107,M_dwarf
3101241540498008064,M,dwarf,3618.471,4.8437,0.3205,M_dwarf
5993266359196788736,M,dwarf,3531.5708,4.6148,0.3146,M_dwarf
3368120328552427520,M,dwarf,3702.6033,4.6009,0.3228,M_dwarf
5893005639069606656,M,dwarf,3903.8887,4.9363,0.2872,M_dwarf
6744083988940523392,M,dwarf,3971.065,5.0087,0.2866,M_dwarf
5987917651762056064,M,dwarf,3966.2,4.7947,0.4583,M_dwarf
6113044888182558848,M,dwarf,3422.7876,4.2586,0.8589,M_dwarf
6080081911841251328,M,dwarf,3573.0105,4.6607,0.4812,M_dwarf
4040342191444313344,M,dwarf,3990.6921,4.6381,0.2968,M_dwarf
4110837310780386816,M,dwarf,3761.8071,4.3798,0.3489,M_dwarf
4059329485913449600,M,dwarf,3866.6968,4.4437,0.6022,M_dwarf
5581065978291857920,M,dwarf,3555.9705,4.3381,0.8412,M_dwarf
6415310775077485568,M,dwarf,3616.0105,4.4154,0.4849,M_dwarf
4119023793252130688,M,dwarf,3685.0222,4.4306,0.459,M_dwarf
5328266505353755904,M,dwarf,3800.8435,4.5634,0.6192,M_dwarf
4119133499574520704,M,dwarf,3875.3162,4.095,0.9244,M_dwarf
4338766689585921408,M,dwarf,3809.427,4.802,0.4515,M_dwarf
4108552005820303872,M,dwarf,3951.721,4.4731,0.3929,M_dwarf
4467864674834326912,M,dwarf,3850.4517,4.8224,0.2791,M_dwarf
5363507639726745216,M,dwarf,3487.7786,4.4266,0.3663,M_dwarf
1154705977619805312,M,dwarf,3552.6611,4.4765,0.4939,M_dwarf
4053519524715326976,M,dwarf,3767.0068,4.0494,1.0718,M_dwarf
2286461024398004736,M,dwarf,3262.072,5.0357,0.237,M_dwarf
4323061707881427840,M,dwarf,3681.425,4.4178,0.5033,M_dwarf
4105900086859066240,M,dwarf,3666.4556,4.8689,0.372,M_dwarf
4509249536590264448,M,dwarf,3551.928,4.5162,0.5288,M_dwarf
5309704618771680512,M,dwarf,3636.3096,4.4744,0.4479,M_dwarf
3861489887631451776,M,dwarf,3557.1753,4.3088,0.8445,M_dwarf
5881009795420147968,M,dwarf,3737.435,4.2338,0.4372,M_dwarf
4123077589528004096,M,dwarf,3567.2583,4.4433,0.3075,M_dwarf
257511498743816064,M,dwarf,3787.721,4.884,0.3723,M_dwarf
431426308094631680,M,dwarf,3416.6711,4.4666,0.3731,M_dwarf
5940209940995032576,M,dwarf,3759.4868,4.8092,0.4434,M_dwarf
3626434951815942400,M,dwarf,3788.2117,4.8786,0.3692,M_dwarf
