source_id,predicted_spec_class,predicted_evolution_stage,gauss_label,router_similarity,router_log_posterior,posterior_margin,host_log_lr,host_posterior,class_prior,distance_factor,quality_factor,metallicity_factor,final_score,priority_tier,reason_code,ra,dec,teff_gspphot,logg_gspphot,radius_gspphot,mh_gspphot,parallax,parallax_over_error,ruwe
4844923603257974528,G,dwarf,G,0.2749542755529007,2.214940977358698,1.2827521193847602,1.990625646018127,0.8798093121220352,1.05,0.96,1.0,1.03,0.9134532202175818,HIGH,HOST_SCORING,61.505047,-38.99768,5569.641,4.108,1.4623,0.2025,11.501182,921.188,1.0381136
3075955904089799552,K,dwarf,K,0.6144298877503054,4.933547748314261,8.801863133112919,1.8365656461593178,0.8625420259283275,1.08,0.96,1.0,1.0,0.89428357248249,HIGH,HOST_SCORING,132.1046,2.2710516,4602.726,4.5949,0.7125,0.0955,12.599344,708.4181,0.97255623
3506006370938733440,K,dwarf,K,0.4164671905355309,4.148831551303687,2.2039807771664317,2.6652377112552172,0.9349439704551321,1.08,0.9,0.98,1.0,0.8905902284967406,HIGH,HOST_SCORING,196.37086,-20.047796,4971.0605,4.5101,0.8565,0.1482,5.073083,345.9105,1.1216755
3809101289599110528,M,dwarf,M_LATE,0.18180458490312432,-4.56291940555062,4.956240207191922,7.499723974000615,0.999447068845119,1.02,0.9,0.97,1.0,0.8899676369238247,HIGH,HOST_SCORING,162.63684,2.2553139,2951.501,5.0702,0.1987,-0.0866,5.5824294,18.86357,1.0851613
2652627430426468864,K,dwarf,K,0.5314019161815053,4.741642871683776,5.327210242594255,2.3174779164680612,0.9103142451396636,1.08,0.9,1.0,1.0,0.8848254462757532,HIGH,HOST_SCORING,340.35748,-2.1700659,4786.249,4.5541,0.7757,0.0613,6.004272,435.32224,1.0021436
6562438998672026240,M,dwarf,M_LATE,0.20884857837403,-1.6111389762011181,4.166145021621086,10.443719636439496,0.9999708701974912,1.02,0.9,1.0,0.96,0.8812543284876452,HIGH,HOST_SCORING,326.11975,-48.429836,3014.9426,4.6264,0.2814,-0.5081,5.0439925,22.860723,1.028518
1575553540733945088,K,dwarf,K,0.5807574382138442,4.869879500587215,7.9406957102849365,2.059483483858706,0.8869023703256065,1.08,0.9,0.98,1.03,0.8701725535336805,HIGH,HOST_SCORING,180.09383,58.006832,4646.064,4.5797,0.7481,0.225,5.700318,449.17398,1.1537241
3641433458649383808,K,dwarf,K,0.5190301420633768,4.701082563274094,8.020740671738068,2.0841525089892228,0.8893533178980308,1.08,0.9,1.0,1.0,0.864451424996886,HIGH,HOST_SCORING,217.25903,-5.618304,4589.6963,4.5399,0.7816,-0.0229,5.41696,369.91528,1.0343653
3136871665771285248,M,dwarf,M_LATE,0.19005016532930383,-3.517404273882549,5.304676204516241,2.71911795009344,0.9381453693606735,1.02,0.9,1.0,1.0,0.8612174490730984,HIGH,HOST_SCORING,115.52311,3.1757612,3010.3066,5.099,0.1856,-0.258,6.425212,20.436815,1.0242085
4128651868653467392,M,dwarf,M_LATE,0.1912496793140787,-3.3773032082018974,5.17862365613688,15.944080636012611,0.9999998809926707,1.02,0.8,1.0,1.05,0.8567998980345204,HIGH,HOST_SCORING,257.55835,-18.551825,2952.7278,4.8382,0.3577,0.7838,4.6702847,20.766987,1.0404809
2719120228612792192,M,dwarf,M_LATE,0.1947871843789382,-2.980252476979428,5.679144446302724,10.159421704075951,0.9999612918510523,1.02,0.9,0.97,0.96,0.8548085106640204,HIGH,HOST_SCORING,341.3112,11.197765,2964.0674,4.7892,0.207,-0.6569,7.640468,19.950178,1.0558499
1647239323747426048,M,dwarf,M_LATE,0.18518710088524062,-4.115822514587359,5.246577765310988,4.239875484463113,0.9857952951502749,1.02,0.9,0.98,0.96,0.8513864441558335,HIGH,HOST_SCORING,235.56238,68.706535,2993.3215,5.1293,0.1708,-0.348,6.0845194,30.996815,1.1526799
4500501895098383616,K,dwarf,K,0.5704064885461361,4.846834838414061,8.714948807050277,1.9189588377916666,0.8720222855821317,1.08,0.9,1.0,1.0,0.8476056615858321,HIGH,HOST_SCORING,266.54663,15.011056,4566.18,4.5825,0.7328,0.1269,7.154441,513.5106,1.0210832
3727707188278583040,M,dwarf,M_LATE,0.19253178724131592,-3.230666227484537,5.296396052863239,2.4771191838946747,0.9225221418865385,1.02,0.9,1.0,1.0,0.8468753262518424,HIGH,HOST_SCORING,208.81905,12.456543,3010.652,5.0613,0.2069,-0.1245,5.563677,24.359228,1.0141313
646069390349347840,K,dwarf,K,0.6168095378926329,4.937468257784726,8.189616603191352,1.833854228580294,0.8622202352442325,1.08,0.9,1.0,1.0,0.8380780686573941,HIGH,HOST_SCORING,142.52757,25.950417,4636.206,4.583,0.709,-0.0932,5.1072617,290.2667,0.9282209
5372827619985443968,K,dwarf,K,0.3673288530194654,3.6471860265242886,0.5879251123862623,2.7111423069712832,0.9376809331683817,1.08,0.8,1.0,1.03,0.8344610160452065,HIGH,HOST_SCORING,172.47614,-50.63463,5075.2974,4.4926,0.9045,0.367,2.4470863,179.49648,1.002672
4245796105213925376,K,dwarf,K,0.4300006627238243,4.251863291325915,2.9270426780807957,2.5927532288934185,0.9303937310516186,1.08,0.8,1.0,1.03,0.8279759891374564,HIGH,HOST_SCORING,305.09634,3.9405391,4923.9097,4.519,0.8603,0.4553,2.7632954,168.71732,0.9430523
1920429553361321344,K,dwarf,K,0.44426988143224544,4.3480860766041864,3.470511839353082,2.5835692440988383,0.9297966087766489,1.08,0.8,1.0,1.03,0.8274445980825157,HIGH,HOST_SCORING,355.38574,40.390972,4892.4707,4.5192,0.8505,0.2927,2.662327,165.55005,1.0063702
