source_id,ra,dec,parallax,parallax_over_error,ruwe,bp_rp,teff_gspphot,logg_gspphot,radius_gspphot,mh_gspphot,validation_factor,predicted_spec_class,predicted_evolution_stage,router_label,d_mahal_router,router_similarity,router_log_likelihood,router_log_posterior,second_best_label,margin,posterior_margin,router_model_version,run_id
2038238616520031744,288.6174,28.553566,0.584264,28.033325,0.96945953,1.1667509,5186.7466,4.1234,1.6753,-0.293,1.0,G,evolved,G_evolved,2.4776479003903975,0.28755067466368317,1.5454711822554414,-1.093586147359817,K_evolved,0.2285612986680099,0.4789013657993677,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2038269574645731584,289.03003,28.804064,1.1094875,73.29232,1.0102965,0.907218,5782.571,4.2442,1.3385,-0.3479,1.0,G,dwarf,G_dwarf,2.1799123889941963,0.31447407276409245,5.9547903548821095,3.315733025266851,F_dwarf,0.1857056949948781,0.35197119672621113,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2038479375212551424,291.54117,29.096508,0.62909055,10.996546,1.1363003,1.1832485,5256.913,4.7042,0.6038,-0.9151,1.0,G,dwarf,G_dwarf,1.2016922328571156,0.4541960883889341,7.608767255472742,4.969709925857483,K_dwarf,0.6988987956511836,1.645391496679888,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2038529879713835008,290.58386,29.17175,0.6922309,10.773023,0.97784525,1.3270626,4708.0684,4.564,0.7513,-0.0154,1.0,K,dwarf,K_dwarf,0.7490748623453601,0.5717308169754869,7.488942312917111,4.849884983301852,G_dwarf,2.5999338103745897,6.794532601762812,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2038592551871665664,291.9513,29.555008,0.3472404,12.728374,0.99822986,1.3166208,5098.249,3.7373,2.1638,-0.1305,1.0,G,evolved,G_evolved,2.0016862909969233,0.3331460729255218,2.611466737627404,-0.027590591987854296,K_evolved,0.5469728117567896,0.07379730348921898,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2038754699789872768,290.3532,29.817438,0.4236038,15.01177,0.9874382,0.8681536,6342.617,4.3227,1.1706,-0.4164,1.0,F,dwarf,F_dwarf,0.35309030392741203,0.7390489733740979,7.528912945987967,4.889855616372708,B_dwarf,1.6292572157397052,5.330788999039806,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2038867537170143488,291.15433,30.180696,0.43383047,15.933411,0.9768215,0.8124933,6021.68,4.0609,1.5134,-0.3355,1.0,F,dwarf,F_dwarf,2.100016574131938,0.3225789204949714,5.3862145215373225,2.747157191922064,G_dwarf,0.39621654420872,2.3182926871527583,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2039011367029039616,288.2982,28.823454,0.90187943,40.87837,1.0149004,0.9872074,5644.755,4.5586,0.8569,-0.0135,1.0,G,dwarf,G_dwarf,0.7809337591209291,0.5615031973416019,8.025870598659928,5.386813269044669,F_dwarf,1.5557449751896602,3.164655024997853,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2039018273336685184,288.33316,28.932747,0.3471419,11.240828,1.0227921,1.0581818,5754.112,3.9141,1.9231,-0.0675,1.0,G,evolved,G_evolved,1.2612196611481137,0.4422392115113041,3.8195032245766325,1.180445894961374,F_evolved,0.7608208362751281,2.443638747802568,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2039260372058781568,289.20517,30.232437,0.39760292,11.666693,0.94882816,1.3115644,5062.836,4.2035,1.3454,-0.5593,1.0,K,dwarf,K_dwarf,3.1979362509701303,0.2382122881853918,2.656100754981524,0.017043425366265463,G_dwarf,0.4474267906551641,0.5862264652570879,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2039283702322036480,288.91577,30.568254,0.37828922,12.784361,1.0089968,0.944397,5853.248,4.2465,1.1639,-0.2597,1.0,G,dwarf,G_dwarf,2.065527881477751,0.3262080916119235,6.197596652146318,3.5585393225310598,F_dwarf,0.36944431206331774,0.044697062013376865,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2039945054253657088,288.43506,31.476099,0.8111406,10.464612,0.9970554,1.6656265,3928.1514,4.6201,0.5798,-0.6344,1.0,M,dwarf,M_dwarf,1.3226459680747338,0.4305434464594321,7.3282928487186885,4.6892355191034305,K_dwarf,0.9702043564998628,2.187375266553635,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2039950208215081984,288.7362,31.626162,1.7599862,10.700784,0.9704447,2.606678,3431.9602,4.9709,0.2941,-0.4235,1.0,M,dwarf,M_dwarf,2.0472218221004166,0.3281677732639467,6.107430432708789,3.4683731030935303,K_dwarf,1.8260580884281898,5.839080177745063,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2040226597953645312,283.4863,28.037949,2.5325375,28.181572,1.2066119,2.5302048,3507.1824,4.5764,0.5321,-0.4628,1.0,M,dwarf,M_dwarf,1.2959029980798586,0.4355584712578597,7.36330673693468,4.724249407319421,K_dwarf,2.3436920542995963,6.217133921971213,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
