source_id,ra,dec,parallax,parallax_over_error,ruwe,bp_rp,teff_gspphot,logg_gspphot,radius_gspphot,mh_gspphot,validation_factor,predicted_spec_class,predicted_evolution_stage,router_label,d_mahal_router,router_similarity,router_log_likelihood,router_log_posterior,second_best_label,margin,posterior_margin,router_model_version,run_id,gauss_label,host_log_likelihood,field_log_likelihood,host_log_lr,host_posterior,class_prior,reliability_factor,quality_factor,followup_factor,metallicity_factor,color_factor,host_score,final_score,d_mahal,similarity,priority_tier,reason_code,host_model_version
637771449108916480,140.07219,21.337807,0.6874278,15.211911,1.0486338,0.99920654,5208.6636,4.546,0.7737,-0.336,1.0,G,dwarf,G_dwarf,1.496637220078707,0.4005387694926998,7.210837882464841,4.571780552849583,K_dwarf,0.3470104230598847,1.1408573108741131,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,G,-1.672686754779546,-1.0487337041620075,-0.6239530506175386,0.3488829265130765,0.8,0.96,0.96,0.65,0.85,0.9,0.23724039002889205,0.1332342030402258,,,LOW,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
242059172781362816,52.526287,46.301548,3.088169,12.9402275,1.060296,2.8656254,3327.5422,5.0372,0.2257,-0.5974,1.0,M,dwarf,M_dwarf,2.6576708623972185,0.27339802776693944,4.671381820733275,2.032324491118017,K_dwarf,1.597703969604661,5.955990413534817,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,M_MID,-1.1268639762242345,-0.30311819629335757,-0.8237457799308769,0.3049691137940373,1.0,0.96,0.96,0.65,0.7,1.0,0.21347837965582608,0.13321050890523548,,,LOW,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
1006681583327057664,97.39081,61.592247,0.83772784,21.667645,0.95576453,1.1181927,5335.2993,4.5567,0.755,-0.3066,1.0,G,dwarf,G_dwarf,0.8732740708415783,0.5338247166100712,7.949495565325191,5.310438235709933,K_dwarf,1.3246294265767817,2.5953865696911502,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,G,-0.9964886237565849,-0.31007602130166134,-0.6864126024549235,0.3348315822619369,0.8,1.0,1.0,0.65,0.85,0.9,0.22768547593811708,0.1331960034237985,,,LOW,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
2047834501180788608,295.7299,35.952953,0.7023393,45.671173,0.9582032,0.76791,6369.8486,4.3214,1.2161,-0.1881,1.0,F,dwarf,F_dwarf,0.32696138799944297,0.7536014303382426,7.537797452730482,4.898740123115223,B_dwarf,1.6400580160918765,5.309038466106417,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,F,-0.7468878734958815,-0.7217741338963712,-0.025113739599510243,0.49372189506334235,0.65,1.0,1.0,0.65,0.85,0.75,0.2727813470224967,0.13298090667346713,,,LOW,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
1963185403041692288,334.86792,46.382755,0.6072429,24.1994,1.0270994,0.8494549,6091.4497,4.3341,1.1035,-0.774,1.0,F,dwarf,F_dwarf,0.9531553840775515,0.5119920351202811,7.1369967342537315,4.497939404638473,G_dwarf,1.2812428791727102,2.662728680298923,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,F,-0.7194433031921879,-1.1225748523731218,0.40313154918093397,0.5994398153892918,0.65,1.0,1.0,0.65,0.7,0.75,0.27274511600212775,0.1329632440510373,,,LOW,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
2008185081072785024,341.2897,58.303684,0.7855875,10.46691,0.94051754,1.6822109,4653.7783,4.7305,0.5494,-0.7664,1.0,K,dwarf,K_dwarf,0.11205188523808098,0.8992386176171163,7.763221075123266,5.1241637455080085,G_dwarf,3.863996442176798,7.336901859365295,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,K,-1.252335913259127,-0.49635051150358667,-0.7559854017555403,0.31951851281925325,0.95,0.96,0.96,0.65,0.7,1.0,0.2124798110248034,0.1325874020794773,,,LOW,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
448820405941821312,56.102016,56.971775,0.86883676,12.077555,1.0134435,1.7174282,4872.1436,4.716,0.577,-0.7537,1.0,K,dwarf,K_dwarf,0.7082043687942964,0.5854100471045107,7.518722173626307,4.879664844011048,G_dwarf,2.2335040121040097,3.5147469060226713,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,K,-1.497155874418088,-0.7408494130005474,-0.7563064614175405,0.31944871000757963,0.95,0.96,0.96,0.65,0.7,1.0,0.21243339215504042,0.13255843670474524,,,LOW,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
2043627185559811200,285.55402,32.39067,1.3094736,70.029335,0.9854745,0.98375416,5447.0723,4.5704,0.8379,0.1204,1.0,G,dwarf,G_dwarf,0.4907129610270147,0.6708199540380048,8.210399761667352,5.571342432052093,K_dwarf,2.0471333896682604,3.661232923920044,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,G,-0.9062334858784096,-0.049171824959500565,-0.857061660918909,0.2979536142459154,0.8,1.0,1.0,0.65,0.95,0.9,0.2264447468268957,0.132470176893734,,,LOW,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
2046849682341196928,292.1807,35.24397,0.32952842,11.584229,1.0998888,0.83823204,6077.778,4.0167,1.4445,-1.0566,1.0,F,dwarf,F_dwarf,2.3396553062786154,0.2994320995103839,4.854255851252903,2.2151985216376446,G_dwarf,0.8195965616206635,2.520852217529594,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,F,-2.907426511057673,-3.4053157353739483,0.49788922431627514,0.6219631630131456,0.65,0.96,0.96,0.65,0.7,0.75,0.28299323917098124,0.13244083593201922,,,LOW,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
1194371890383586816,233.92693,14.341626,5.182848,65.16146,0.9543288,2.5745592,3413.218,4.7363,0.3289,-0.7099,1.0,M,dwarf,M_dwarf,1.7143702833493284,0.3684095740858448,6.7334562929352355,4.094398963319977,K_dwarf,2.145003927249249,6.411342054035959,gaussian_router_v1,gaia_pipeline_20260319T115539Z_f5dc32c6,M_MID,-0.05594252807461908,1.1509029671337911,-1.2068454952084102,0.23025968008762568,1.0,1.0,1.0,0.82,0.7,1.0,0.16118177606133796,0.13216905637029713,,,LOW,HOST_SCORING,gaussian_host_field_v1_host_vs_field_log_lr_v1_msub_True_shrink_0.15
