observation_priority,rank_in_priority,source_id,ra,dec,predicted_spec_class,predicted_evolution_stage,host_like_percent,host_like_profile,final_score,reason_code
1,28,1871558799829891456,314.22342,36.982784,K,dwarf,91.13,K,0.534563089814708,HOST_SCORING
1,29,546169176895816576,34.088028,71.82935,K,dwarf,86.51,K,0.5342113279927772,HOST_SCORING
1,30,431205134456722304,5.77787,64.571754,K,dwarf,86.44,K,0.5337655679457884,HOST_SCORING
1,31,573435072399868416,5.3178926,83.825966,K,dwarf,90.82,K,0.532769777209441,HOST_SCORING
1,32,209682025675364608,86.257095,46.8747,K,dwarf,86.19,K,0.532246805203363,HOST_SCORING
1,33,1936664220501985536,349.69952,42.96954,K,dwarf,90.64,K,0.5317139875286938,HOST_SCORING
1,34,1970541582515682304,321.02686,43.19419,K,dwarf,90.62,K,0.5315737946489808,HOST_SCORING
1,35,416733946523699840,14.010811,52.318485,K,dwarf,86.07,K,0.5315075502887976,HOST_SCORING
1,36,1865964622110670976,313.19012,33.00125,K,dwarf,89.59,K,0.5310602643285044,HOST_SCORING
1,37,109597536646000768,42.53893,22.229538,K,dwarf,90.5,K,0.5309087201430636,HOST_SCORING
1,38,2062037167754480640,301.91074,39.514996,K,dwarf,89.56,K,0.5308857250058807,HOST_SCORING
1,39,533746722729201408,25.442305,70.48751,K,dwarf,90.47,K,0.5307483399624746,HOST_SCORING
1,40,188191555515821440,77.843575,38.411224,K,dwarf,90.35,K,0.530002751545868,HOST_SCORING
1,41,127570355576706048,37.646572,27.340038,K,dwarf,85.74,K,0.529413906477661,HOST_SCORING
1,42,470543495831169536,62.727615,59.67856,K,dwarf,85.68,K,0.5290763729046172,HOST_SCORING
1,43,1340951878587227136,257.31244,37.343872,K,dwarf,85.66,K,0.5289548858874641,HOST_SCORING
1,44,295207606359183744,23.012402,25.895786,K,dwarf,90.09,K,0.5284995263782093,HOST_SCORING
1,45,242802580081552512,52.10004,46.424442,K,dwarf,90.07,K,0.528380940565394,HOST_SCORING
1,46,2062347882853027072,304.62573,40.69975,K,dwarf,89.92,K,0.5275213229006832,HOST_SCORING
1,47,422572589484327168,0.63512284,57.322235,K,dwarf,85.4,K,0.5273268473850573,HOST_SCORING
1,48,84191877377264384,42.791378,19.263136,K,dwarf,85.3,K,0.5267059567498131,HOST_SCORING
1,49,59318278657519232,50.22381,19.671267,K,dwarf,89.72,K,0.5263106694030677,HOST_SCORING
1,50,574449543674740864,50.037136,85.79755,K,dwarf,85.23,K,0.5262969452656597,HOST_SCORING
1,51,518054217904837120,29.144653,64.87859,K,dwarf,85.15,K,0.5257763645114237,HOST_SCORING
1,52,2054919307419256576,303.3318,32.40356,K,dwarf,89.54,K,0.52524889598941,HOST_SCORING
1,53,1838250709974693376,316.69543,21.943539,K,dwarf,85.06,K,0.5252287685766266,HOST_SCORING
1,54,1942489673624988288,347.62326,47.86581,K,dwarf,89.46,K,0.524788469693195,HOST_SCORING
1,55,1308974472679778304,257.45074,29.579071,K,dwarf,84.95,K,0.5245786680531188,HOST_SCORING
1,56,1946520414535526144,327.12796,33.163246,K,dwarf,89.33,K,0.5240606306670026,HOST_SCORING
1,57,1743147631390686592,318.522,8.630173,K,dwarf,84.84,K,0.5238575195488828,HOST_SCORING
1,58,497748230998277120,77.91984,70.357506,K,dwarf,84.78,K,0.5235443831329243,HOST_SCORING
1,59,1871821106377782912,316.62573,37.561653,K,dwarf,84.7,K,0.5229971436500087,HOST_SCORING
1,60,1950881661767079424,325.6852,36.03334,K,dwarf,84.58,K,0.5222588451269674,HOST_SCORING
1,61,1791494566413286144,320.54764,22.021309,K,dwarf,93.9,K,0.5218215654851622,HOST_SCORING
1,62,1868965983920943104,317.8953,38.203907,K,dwarf,88.95,K,0.5218179989635624,HOST_SCORING
1,63,533329389348201344,18.227007,70.66341,K,dwarf,92.62,K,0.5216078291769232,HOST_SCORING
1,64,1620925575249049088,227.29108,65.0512,K,dwarf,84.46,K,0.5215463334496211,HOST_SCORING
1,65,507035427768221568,30.62365,59.04165,K,dwarf,88.82,K,0.5210534108670026,HOST_SCORING
1,66,19342441052790272,38.829464,7.308085,K,dwarf,88.74,K,0.5205855026663325,HOST_SCORING
1,67,991494819485355776,102.13691,51.157124,K,dwarf,93.54,K,0.5198469050489061,HOST_SCORING
1,68,966680177781876352,101.252144,47.421818,K,dwarf,88.61,K,0.5198177501471792,HOST_SCORING
1,69,768622919181828096,179.56462,41.80099,K,dwarf,84.17,K,0.5197593754753638,HOST_SCORING
1,70,1953422461338390016,327.52817,39.854813,K,dwarf,84.13,K,0.519476239091419,HOST_SCORING
1,71,975039047427822208,114.08237,45.301956,K,dwarf,88.47,K,0.5189786779370691,HOST_SCORING
1,72,239778648225082624,48.813465,42.834385,K,dwarf,88.47,K,0.518971506436738,HOST_SCORING
1,73,1229482633848479488,216.5532,16.942263,K,dwarf,83.98,K,0.5185985071877316,HOST_SCORING
